supplier_id,supplier_name,industry,country,city,years_in_business,employees,tier,profile,persona,status,trust_score,risk_level,financial_score,delivery_score,quality_score,compliance_score,news_risk_score,failure_probability,confidence,last_updated
SUP000147,Apex Batteries Technologies,Battery,India,Pune,20,2033,Tier-1,Premium,Enterprise Leader,ACTIVE,98,LOW,96,100,96,98,0,0.02,0.84,2025-12-31
SUP000148,Alpha Motors Technologies,Automotive,India,Bangalore,10,1411,Tier-2,Growing,Cost Efficient,ACTIVE,93,LOW,96,100,88,61,0,0.07,0.89,2025-12-31
SUP000149,Vertex Precision Group,Automotive,India,Pune,14,687,Tier-2,High Risk,Operationally Weak,UNDER_REVIEW,43,HIGH,38,28,34,74,0,0.82,0.96,2025-12-31
SUP000150,Sterling Power Group,Battery,India,Pune,2,167,Tier-1,Growing,Fast Growing Startup,ACTIVE,94,LOW,96,100,85,97,18,0.06,0.79,2025-12-31
SUP000151,Alpha Precision Group,Automotive,India,Pune,3,179,Tier-1,Growing,Fast Growing Startup,ACTIVE,92,LOW,92,100,85,77,0,0.08,0.88,2025-12-31
SUP000152,Vertex Precision Corporation,Automotive,China,Shanghai,4,760,Tier-2,Growing,Innovation Driven,ACTIVE,96,LOW,92,100,96,96,0,0.04,0.87,2025-12-31
SUP000153,Vertex Chemicals Group,Chemical,Japan,Osaka,25,2701,Tier-1,Premium,Customer Centric,ACTIVE,97,LOW,98,100,93,93,0,0.03,0.82,2025-12-31
SUP000154,Sterling Power Technologies,Battery,India,Hyderabad,5,442,Tier-2,High Risk,Crisis Prone,UNDER_REVIEW,59,HIGH,36,100,28,51,0,0.66,0.9,2025-12-31
SUP000155,Falcon Components Corporation,Automotive,India,Bangalore,6,121,Tier-2,High Risk,Operationally Weak,UNDER_REVIEW,40,HIGH,36,22,33,58,0,0.85,0.86,2025-12-31
SUP000156,Zenith Precision Group,Automotive,India,Hyderabad,8,1880,Tier-2,Stable,Logistics Sensitive,ACTIVE,89,LOW,87,100,85,56,0,0.11,0.8,2025-12-31
SUP000157,Global Batteries Technologies,Battery,China,Wuhan,25,1114,Tier-2,Stable,Customer Centric,ACTIVE,92,LOW,85,100,88,92,0,0.08,0.9,2025-12-31
SUP000158,Titan Precision Industries,Automotive,India,Chennai,42,1132,Tier-2,Declining,Legacy Manufacturer,ACTIVE,74,MEDIUM,42,100,72,74,0,0.51,0.83,2025-12-31
SUP000159,Global Labs Group,Chemical,China,Wuhan,9,778,Tier-1,Growing,Innovation Driven,ACTIVE,96,LOW,92,100,96,97,0,0.04,0.95,2025-12-31
SUP000160,Alpha Chemicals Technologies,Chemical,India,Bangalore,5,1090,Tier-2,Growing,Innovation Driven,ACTIVE,94,LOW,88,100,95,92,0,0.06,0.98,2025-12-31
SUP000161,Alpha Precision Industries,Automotive,India,Chennai,2,289,Tier-1,Growing,Fast Growing Startup,ACTIVE,91,LOW,88,100,87,77,0,0.09,0.89,2025-12-31
SUP000162,Vertex Components Corporation,Automotive,South Korea,Daegu,12,1983,Tier-1,Stable,Customer Centric,ACTIVE,89,LOW,81,100,86,74,0,0.11,0.82,2025-12-31
SUP000163,Omega Freight Enterprises,Logistics,China,Wuhan,12,3661,Tier-1,Premium,Innovation Driven,ACTIVE,98,LOW,96,100,96,98,0,0.02,0.85,2025-12-31
SUP000164,Zenith Chemicals Industries,Chemical,Japan,Nagoya,16,848,Tier-3,Stable,Legacy Manufacturer,ACTIVE,89,LOW,85,100,88,62,0,0.11,0.95,2025-12-31
SUP000165,Nova Electronics Corporation,Semiconductor,China,Shenzhen,10,665,Tier-2,Stable,Logistics Sensitive,ACTIVE,92,LOW,88,100,86,89,0,0.08,0.84,2025-12-31
SUP000166,Global Micro Group,Semiconductor,Vietnam,Da Nang,24,294,Tier-1,Stable,Legacy Manufacturer,ACTIVE,93,LOW,83,100,90,100,0,0.07,0.92,2025-12-31
SUP000167,Apex Precision Group,Automotive,India,Hyderabad,1,107,Tier-1,Growing,Fast Growing Startup,ACTIVE,94,LOW,88,100,88,97,0,0.06,0.96,2025-12-31
SUP000168,Vertex Components Enterprises,Automotive,India,Pune,5,1319,Tier-1,Growing,Recovering Supplier,ACTIVE,94,LOW,88,100,90,100,0,0.06,0.82,2025-12-31
SUP000169,Orion Precision Industries,Automotive,China,Shenzhen,22,1847,Tier-2,Stable,Compliance Champion,ACTIVE,94,LOW,90,100,84,99,0,0.06,0.88,2025-12-31
SUP000170,Zenith Components Enterprises,Automotive,China,Wuhan,2,246,Tier-3,New,Logistics Sensitive,ACTIVE,90,LOW,85,100,86,77,0,0.1,0.83,2025-12-31
SUP000171,Titan Containers Group,Packaging,India,Pune,10,812,Tier-2,Growing,Cost Efficient,ACTIVE,97,LOW,96,100,91,100,0,0.03,0.87,2025-12-31
SUP000172,Global Apparel Corporation,Textile,Germany,Munich,20,685,Tier-3,Stable,Cost Efficient,ACTIVE,95,LOW,96,100,84,94,0,0.05,0.78,2025-12-31
SUP000173,Alpha Express Enterprises,Logistics,India,Pune,20,244,Tier-2,Stable,Cost Efficient,ACTIVE,95,LOW,98,100,84,84,0,0.05,0.96,2025-12-31
SUP000174,Zenith Synthetics Industries,Chemical,India,Hyderabad,7,1317,Tier-1,Growing,Cost Efficient,ACTIVE,95,LOW,94,100,87,92,0,0.05,0.89,2025-12-31
SUP000175,Sterling Electronics Enterprises,Semiconductor,Germany,Ludwigshafen,5,813,Tier-1,Growing,Innovation Driven,ACTIVE,95,LOW,92,100,96,83,0,0.05,0.96,2025-12-31
SUP000176,Global Labs Industries,Chemical,India,Pune,33,832,Tier-1,Stable,Legacy Manufacturer,ACTIVE,95,LOW,94,100,85,96,0,0.05,0.83,2025-12-31
SUP000177,Horizon Motors Industries,Automotive,Vietnam,Da Nang,18,804,Tier-3,Stable,Customer Centric,ACTIVE,92,LOW,85,100,87,94,0,0.08,0.95,2025-12-31
SUP000178,Delta Electronics Corporation,Semiconductor,Japan,Osaka,16,1304,Tier-2,Declining,Operationally Weak,ACTIVE,82,LOW,66,100,66,93,0,0.28,0.89,2025-12-31
SUP000179,Phoenix Foundry Pvt Ltd,Steel,China,Wuhan,23,726,Tier-2,Stable,Compliance Champion,ACTIVE,93,LOW,87,100,85,100,0,0.07,0.91,2025-12-31
SUP000180,Omega Cartons Enterprises,Packaging,Vietnam,Ho Chi Minh City,5,454,Tier-1,Growing,Customer Centric,ACTIVE,94,LOW,85,100,94,94,0,0.06,0.93,2025-12-31
SUP000181,Global Textiles Group,Textile,India,Pune,27,2627,Tier-1,Premium,Customer Centric,ACTIVE,98,LOW,96,100,96,100,0,0.02,0.97,2025-12-31
SUP000182,Global Labs Enterprises,Chemical,USA,Houston,4,841,Tier-2,Growing,Customer Centric,ACTIVE,93,LOW,92,100,90,93,15,0.07,0.83,2025-12-31
SUP000183,Apex Electronics Industries,Semiconductor,India,Chennai,9,1497,Tier-2,Growing,Customer Centric,ACTIVE,93,LOW,92,100,88,83,0,0.07,0.78,2025-12-31
SUP000184,Sterling Power Industries,Battery,China,Shenzhen,25,251,Tier-2,Stable,Compliance Champion,ACTIVE,92,LOW,81,100,91,97,0,0.08,0.84,2025-12-31
SUP000185,Prime Alloys Group,Steel,USA,Chicago,22,1501,Tier-3,Stable,Cost Efficient,ACTIVE,93,LOW,94,100,84,77,0,0.07,0.93,2025-12-31
SUP000186,Alpha Foundry Group,Steel,India,Pune,6,486,Tier-2,Declining,Operationally Weak,ACTIVE,79,LOW,61,100,62,87,0,0.21,0.85,2025-12-31
SUP000187,Nova Micro Group,Semiconductor,South Korea,Busan,15,399,Tier-3,Stable,Logistics Sensitive,ACTIVE,93,LOW,85,100,87,95,0,0.07,0.84,2025-12-31
SUP000188,Sterling Weaving Enterprises,Textile,Germany,Ludwigshafen,9,1406,Tier-1,Growing,Recovering Supplier,ACTIVE,78,LOW,85,42,87,93,0,0.22,0.95,2025-12-31
SUP000189,Alpha Power Corporation,Battery,India,Hyderabad,9,1302,Tier-2,Growing,Customer Centric,ACTIVE,92,LOW,85,100,86,90,0,0.08,0.92,2025-12-31
SUP000190,Titan Batteries Pvt Ltd,Battery,China,Shanghai,9,504,Tier-2,High Risk,Operationally Weak,UNDER_REVIEW,60,MEDIUM,38,100,32,49,25,0.65,0.95,2025-12-31
SUP000191,Horizon Components Industries,Automotive,India,Pune,8,1415,Tier-1,Growing,Customer Centric,ACTIVE,94,LOW,92,100,90,94,10,0.06,0.85,2025-12-31
SUP000192,Zenith Motors Pvt Ltd,Automotive,Germany,Munich,36,1131,Tier-2,Declining,Legacy Manufacturer,ACTIVE,62,MEDIUM,58,36,79,53,0,0.38,0.9,2025-12-31
SUP000193,Zenith Semiconductors Industries,Semiconductor,USA,Houston,5,798,Tier-1,Growing,Customer Centric,ACTIVE,91,LOW,89,100,90,58,0,0.09,0.86,2025-12-31
SUP000194,Prime Motors Industries,Automotive,China,Shanghai,5,502,Tier-2,Declining,Financially Fragile,ACTIVE,73,MEDIUM,38,100,80,57,0,0.52,0.97,2025-12-31
SUP000195,Orion Semiconductors Industries,Semiconductor,Japan,Tokyo,8,557,Tier-2,Declining,Operationally Weak,ACTIVE,71,MEDIUM,42,100,69,74,0,0.54,0.96,2025-12-31
SUP000196,Prime Energy Industries,Battery,China,Wuhan,1,28,Tier-2,Growing,Fast Growing Startup,ACTIVE,94,LOW,92,100,85,94,0,0.06,0.95,2025-12-31
SUP000197,Apex Components Group,Automotive,South Korea,Busan,11,1277,Tier-3,Stable,Cost Efficient,ACTIVE,94,LOW,92,100,85,95,0,0.06,0.98,2025-12-31
SUP000198,Delta Steel Technologies,Steel,Vietnam,Da Nang,4,1351,Tier-2,Growing,Cost Efficient,ACTIVE,96,LOW,96,100,87,96,0,0.04,0.84,2025-12-31
SUP000199,Prime Synthetics Enterprises,Chemical,Germany,Ludwigshafen,26,3978,Tier-1,Premium,Compliance Champion,ACTIVE,97,LOW,96,100,92,94,0,0.03,0.97,2025-12-31
SUP000200,Omega Weaving Group,Textile,Germany,Ludwigshafen,20,324,Tier-2,Declining,Crisis Prone,ACTIVE,55,HIGH,38,42,46,86,0,0.7,0.84,2025-12-31
